factid,saleid,locationid,featureid,squareFootage,yearBuilt,county,assessorID,legalDescription,subdivision,bathrooms,lotSize,id,bedrooms
127,84,127,103,4697.0,2004.0,Maricopa,219-20-258,ROCK CANYON AT LAS SENDAS MCR 617-40,ROCK CANYON AT LAS SENDAS,5.0,27592.0,"3447-N-Ladera-Cir,-Mesa,-AZ-85207",0.0
128,3,128,2,0.0,0.0,Dallas,unkown,unkown,unkown,0.0,0.0,"1600-N-Plano-Rd,-Ste-1700,-Richardson,-TX-75081",0.0
129,85,129,104,2412.0,2001.0,Lincoln,87-9  -29-022.,8.08 AC SW1/4 OF SW1/4,unkown,3.0,351965.0,"54-Sunview-Ln-SE,-Brookhaven,-MS-39601",0.0
130,86,130,105,1574.0,2006.0,Honolulu,unkown,unkown,unkown,2.0,0.0,"1177-Queen-St,-Apt-4102,-Honolulu,-HI-96814",3.0
131,3,131,106,2079.0,1968.0,Miami-Dade,30-4913-015-0310,SOUTHERN ESTATES 13TH ADDN PB 84-81 LOT 5 BLK 70 LOT SIZE 80.000 X 100 OR 16099-4502 1093 4,SOUTHERN ESTATES 13TH ADDN,1.0,8000.0,"11810-Sw-30th-St,-Miami,-FL-33175",2.0
132,3,132,2,0.0,0.0,Saint Louis,unkown,unkown,unkown,0.0,0.0,"511-E-Sheridan-St,-Ely,-MN-55731",0.0
133,87,133,107,3115.0,2006.0,Kern,407-431-08-00-1,"TRACT 6028, BLOCK, LOT 8",unkown,3.0,20908.0,"15427-Domaine-Chandon-Ave,-Bakersfield,-CA-93314",3.0
134,88,134,108,791.0,1915.0,Norfolk,BROO B:072 L:0040 S:0004,unkown,AVALON TERRACE,1.0,0.0,"514-Harvard-St,-Apt-2A,-Brookline,-MA-02446",1.0
135,89,135,109,1715.0,1938.0,Los Angeles,5066-013-027,TRACT # 8012 SW 50 FT MEASURED ON NW LINE OF LOT 4 BLK 16,8012,3.0,7070.0,"1720-Stearns-Dr,-Los-Angeles,-CA-90035",4.0
136,90,136,110,1421.0,1935.0,Nassau,21-089-00-0017,TOWN #3 SCH DIST 024,CLIFFTON TER,1.5,7000.0,"2-Harriet-Ct,-Sea-Cliff,-NY-11579",0.0
137,91,137,111,863.0,1971.0,Clark,162-11-310-197,CASA VEGAS APARTMENT HOMES PLAT BOOK 16 PAGE 58 UNIT 245,CASA VEGAS APARTMENT HOMES,1.0,975.0,"1405-Vegas-Valley-Dr,-Apt-245,-Las-Vegas,-NV-89169",2.0
138,92,138,112,2326.0,2003.0,Shasta,073-350-002-000,SUBD:NORTHRIDGE GARDENS SUBDIVISION,NORTHRIDGE GARDENS SUBDIVISION,2.5,16552.0,"5870-Diamond-Ridge-Dr,-Redding,-CA-96003",3.0
139,93,139,113,4883.0,2015.0,Nassau,02-003-00-0001,TOWN #2 SCH DIST 007,unkown,5.5,14898.0,"9-Mirrielees-Rd,-Great-Neck,-NY-11021",5.0
140,3,140,114,1642.0,2006.0,Worcester,10749786,UNIT 407 N/S 7TH ST SOUTH BEACH BDWLK RES CM,SOUTH BEACH BOARDWALK CM,3.0,0.0,"6-7th-St,-Unit-407,-Ocean-City,-MD-21842",0.0
141,94,141,115,1800.0,1932.0,Harris,0162700090021,LT 21 BLK 9 HIGHLAND ACRE HOMES ANNEX 3,HIGHLAND ACRE HOMES ANNEX 3,1.0,9749.0,"2506-Lucky-St,-Houston,-TX-77088",2.0
142,3,142,2,0.0,0.0,Jefferson,unkown,unkown,unkown,0.0,0.0,"8016-Summerfield-Cir,-Apt-110,-Louisville,-KY-40220",0.0
143,3,143,2,0.0,0.0,Macomb,unkown,unkown,unkown,0.0,0.0,"PO-Box-8062,-Eastpointe,-MI-48021",0.0
144,3,144,116,1782.0,2004.0,Escambia,17-2S-30-1500-005-003,LTS 5 TO 8 BLK 3 BRITTON PLACE PLAT DB 154 P 521 OR 5148 P 1776,BRITTON PLACE,2.0,13983.0,"1655-W-Yonge-St,-Pensacola,-FL-32501",0.0
145,95,145,117,887.0,1982.0,Santa Clara,412-18-015,TR 7017 UNIT 15,7017,1.0,924.0,"864-Apricot-Ave-Apt-A,-Campbell,-CA-95008",1.0
146,96,146,118,2456.0,1985.0,Mecklenburg,033-051-29,unkown,unkown,3.5,217800.0,"9456-Hutchinson-Ln,-Charlotte,-NC-28216",3.0
147,97,147,119,1056.0,1993.0,Bandera,unkown,unkown,unkown,2.0,958320.0,"292-Old-Loop,-173,-Bandera,-TX-78003",2.0
148,98,148,120,989.0,2008.0,Dallas,unkown,unkown,unkown,1.0,0.0,"3850-W-Northwest-Hwy,-Dallas,-TX-75220",1.0
149,99,149,121,1748.0,2000.0,Marion,3187-002-007,SEC 19 TWP 15 RGE 23,DEER PATH PH 01,2.0,15682.0,"6599-Se-11th-Loop,-Ocala,-FL-34472",3.0
150,3,150,122,1297.0,2003.0,Pima,116-03-5600,COLINAS DE ORO LOT 77,COLINAS DE ORO,2.0,5707.0,"1521-N-Old-Ranch-Rd,-Tucson,-AZ-85745",0.0
151,100,151,123,2016.0,1980.0,Kent,41-14-23-340-012,LOT 14 EX COM AT NW COR THEREOF TH SLY 60.65 FT ALONG WLY LINE OF SD LOT TH NELY TO A PT ON NLY LINE OF SD LOT WHICH IS 7 FT,FT ALONG SD SLY LINE TO BEG EASTLAKE E,2.5,13765.0,"670-Eastview-Ct-NE,-Grand-Rapids,-MI-49525",0.0
152,3,152,124,1263.0,1947.0,Lowndes,0118B-250,LT 11 SHEPPARD SUB,CHEROKEE PLACE,1.0,5663.0,"1008-Sheppard-St,-Valdosta,-GA-31601",0.0
153,3,153,125,0.0,1998.0,Suffolk County,unkown,unkown,unkown,3.5,43560.0,"271-Huntington-Bay-Rd,-Huntington-Bay,-NY-11743",5.0
154,101,154,126,1924.0,2012.0,Andrews,03086-00170-0000,NEW MILLENNIUM ADDN #2 LOT 17,NEW MILLENNIUM #2,2.0,6900.0,"1516-Nw-9th-St,-Andrews,-TX-79714",0.0
155,102,155,127,731.0,1994.0,Maricopa,174-20-240,SIENNA CONDOMINIUMS MCR 598-16 UNIT 2019 (PLEASE NOTE: FOR LEGAL DESCRIPTION REFERENCES REGARDING THE PERCENTAGE OF OWNERSHIP,SIENNA CONDOMINIUMS,1.0,689.0,"7575-E-Indian-Bend-Rd,-Apt-2019,-Scottsdale,-AZ-85250",0.0
156,3,156,2,0.0,0.0,King,unkown,unkown,unkown,0.0,0.0,"420-Wall-St,-Apt-218,-Seattle,-WA-98121",0.0
157,3,157,128,700.0,1972.0,Harris,unkown,unkown,unkown,1.0,0.0,"6014-Winsome-Ln,-Houston,-TX-77057",1.0
158,103,158,129,2000.0,1951.0,Bristol,NEWB M:0038 L:0031,MAPNUM:000038 WARDNUM:00 BLOCKNUM:000031 LOTNUM:000000 UNITNUM:00000,HAWTHORN HEIGHTS,2.0,7148.0,"440-Hawthorn-St,-New-Bedford,-MA-02740",3.0
159,104,159,130,3992.0,1955.0,Los Angeles,8235-025-009,TRACT # 15883 LOT 144,15883,4.0,13726.0,"9829-Emerado-Dr,-Whittier,-CA-90603",4.0
160,105,160,131,2826.0,2007.0,Shelby,D02-56Y- -A-00019,WS OAKDEN LANE SEE MAP GRID 208K,GERLAND CREEK PD PHASE 5,2.5,8756.0,"4585-Oakden-Ln,-Memphis,-TN-38125",4.0
161,94,161,132,1590.0,2017.0,Williamson,R-14-2494-00LL-0018,S10820 - SIENA SEC 23A BLOCK LL LOT 18,SIENA SEC 23A,2.0,0.0,"5633-Sacco-St,-Round-Rock,-TX-78665",3.0
162,3,162,2,0.0,0.0,Cook,unkown,unkown,unkown,0.0,0.0,"1900-N-Kedvale-Ave,---2,-Chicago,-IL-60639",0.0
163,3,163,2,0.0,0.0,Maverick,unkown,unkown,unkown,0.0,0.0,"647-Commercial-St,-Apt-4,-Eagle-Pass,-TX-78852",0.0
164,106,164,133,1372.0,1922.0,Summit,67-31414,EASTHAVEN LOT 120 ALL,EAST HAVEN ALLOTMENT,1.0,5250.0,"1200-Wyley-Ave,-Akron,-OH-44306",2.0
165,107,165,134,1538.0,1970.0,Maricopa,141-47-753,DREAMLAND VILLA TEN LOT 1163,DREAMLAND VILLA 10,2.0,7504.0,"5856-E-Dodge-St,-Mesa,-AZ-85205",3.0
166,108,166,135,1592.0,1930.0,Cook,13-24-129-029,WM (BOLDENWECKS) ADD TO (UNTERDEN)(LINDEN) A SUB OF L T5 IN COUNTY CLERKS DIV IN EH NW SEC 24-40-13,BOLDENWECKS ADD TO UNTERDEN LINDEN,2.0,3125.0,"3626-N-Francisco-Ave,-Chicago,-IL-60618",4.0
167,109,167,136,2163.0,1957.0,Montgomery,04-00169422,SEC 4 HALPINE VILLAG E,HALPINE SEC,2.5,7042.0,"7007-Lemay-Rd,-Rockville,-MD-20851",4.0
168,110,168,137,1292.0,2006.0,Travis,0208061224,LOT 9 BLK A JUNIPER AT OLIVE SUBD,JUNIPER AT OLIVE,2.0,2666.0,"912-Juniper-St,-Austin,-TX-78702",0.0
169,111,169,138,1381.0,2008.0,Johnston,unkown,unkown,unkown,2.0,69260.0,"189-Bald-Eagle-Ln,-Kenly,-NC-27542",3.0
170,112,170,139,2336.0,1926.0,Morris,24  03104-0000-00004,LOT:4 BLK:3104 DIST:24 CITY/MUNI/TWP:MORRISTOWN TOWN,CUTLER PARK,2.5,7501.0,"14-Condict-Pl,-Morristown,-NJ-07960",4.0
171,113,171,140,12928.0,0.0,Lancaster,unkown,unkown,unkown,0.0,78408.0,"1001-Cornerstone-Dr,-Mount-Joy,-PA-17552",0.0
172,3,172,141,2310.0,0.0,Craighead,01-154341-15100,SAGE MEADOWS PHASE I-B,SAGE MEADOWS PHASE I-B,2.0,10890.0,"4208-Chula-Dr,-Jonesboro,-AR-72405",0.0
173,114,173,142,1941.0,2007.0,Harris,1289090010024,LT 24 BLK 1 BRUNSWICK MEADOWS SEC 9,BRUNSWICK MEADOWS,2.0,5118.0,"14138-Concord-Meadow-Ln,-Houston,-TX-77047",3.0
174,3,174,2,0.0,0.0,Hamilton,unkown,unkown,unkown,0.0,0.0,"601-S-Highland-Park-Ave,-Chattanooga,-TN-37404",0.0
175,115,175,143,1092.0,1998.0,Columbia,062 098,BLDG A LOT 2; NORTHROP PLACE,NORTHROP PLACE,2.0,2548.0,"403-Northrop-Pl,-Grovetown,-GA-30813",2.0
176,3,176,2,0.0,0.0,Daviess,unkown,unkown,unkown,0.0,0.0,"1711-Mcconnell-Ave,-Apt-2,-Owensboro,-KY-42303",0.0
177,3,177,144,1660.0,1970.0,Snohomish,00373003001701,ALDERWOOD MANOR 05 BLK 030 D-01 - TH PTN LTS 17 & 18 DAF BEG INT N LN S 150FT SD LT 18 WITH W LN BLK 30 TH E ALG SD N LN 295F,ALDERWOOD MANOR 05,2.0,14810.0,"19712-Bing-Rd,-Lynnwood,-WA-98036",4.0
178,116,178,145,1274.0,1945.0,Jefferson,29-00-26-4-009-015.000,S 1/2 OF LOTS 24 THRU 27 BLK 24 SHADES CLIFF PB 7 PG 97 ALSO VACATED ALLEY LYING S OF SD LOTS,SHADES CLIFF,1.0,22000.0,"2136-Kent-Way,-Hoover,-AL-35226",3.0
179,3,179,16,0.0,0.0,Barnwell,unkown,unkown,unkown,0.0,21780.0,"Sand-Dr,-Williston,-SC-29853",0.0
180,3,180,146,1656.0,1998.0,Baltimore,142300004091,UNIT 5298 PHASE 3 5298 MILLFIELD RD SS DVNSHRE @ WHITMRSH CNDO,DVNSHRE WHITMRSH CNDO,2.0,1656.0,"5298-Millfield-Rd,---5298,-Rosedale,-MD-21237",0.0
181,117,181,147,672.0,1947.0,Miami-Dade,01-3127-016-1031,MELROSE HGTS 2ND SEC PB 19-44 N45.5FT OF LOTS 21 & 22 BLK 15 LOT SIZE SITE VALUE OR 17444-3562 1196 4,MELROSE HGTS 2ND SEC,1.0,2320.0,"2810-Nw-25th-Ave,-Miami,-FL-33142",1.0
182,118,182,148,2059.0,1935.0,Berks,5317-23-38-1896,BLK:38 DIST:17 CITY/MUNI/TWP:CITY OF READING MAP REF:175317,unkown,1.5,3485.0,"1516-N-15th-St,-Reading,-PA-19604",5.0
183,119,183,2,0.0,0.0,Carroll,unkown,unkown,unkown,0.0,0.0,"32-W-Main-St,-Westminster,-MD-21157",0.0
184,120,184,149,1654.0,1955.0,Fairfax,061-3-07-E-0014,PARKLAWN LT 14 BLK E SEC 1,PARKLAWN,1.5,13726.0,"4012-Braddock-Rd,-Alexandria,-VA-22312",4.0
185,121,185,150,781.0,2019.0,Jackson,1-1008776,SEC/TWN/RNG/MER:SEC 04 Q 3 TWN 39S RNG 01E,unkown,1.0,1742.0,"474-N-Laurel-St,-Ashland,-OR-97520",2.0
186,122,186,151,1218.0,1962.0,Cook,31-24-303-001,(LINCOLNWOOD)(CENTER) SUB OF PT OF SE & PT OF SW SEC 24-35-13,LINCOLNWOOD CENTER,1.5,10200.0,"430-Springfield-St,-Park-Forest,-IL-60466",3.0
187,123,187,152,3525.0,1994.0,Fort Bend,4601-02-002-1300-907,"MAGNOLIA PLANTATION SEC 2, BLOCK 2, LOT 130",MAGNOLIA PLANTATION SEC 2,3.0,9032.0,"4406-Merriweather-St,-Sugar-Land,-TX-77478",4.0
188,3,188,153,1346.0,1948.0,Juab County,unkown,unkown,unkown,1.0,8276.0,"395-E-Center-St,-Nephi,-UT-84648",2.0
189,124,189,154,1161.0,1925.0,Santa Clara,104-11-084,LOT A RECORDER'S BOOK 351 PAGE 40,unkown,1.0,12500.0,"4321-Davis-St,-Santa-Clara,-CA-95054",2.0
190,125,190,155,635.0,1987.0,Osceola,172529106100132060,CASCADES AT KISSIMMEE CONDOMINIUM CB 8 PG 166-180 OR 3094/1 BLDG 13 UNIT 206,CASCADES AT KISSIMMEE CONDO,1.0,741.0,"2030-Cascades-Blvd,-Unit-206,-Kissimmee,-FL-34741",1.0
191,3,191,2,0.0,0.0,Harris,unkown,unkown,unkown,0.0,0.0,"4601-Quail-Hollow-Dr,-Ofc,-Baytown,-TX-77521",0.0
192,126,192,156,2882.0,1925.0,Harris,0410250010035,TRS 6 6A 6B & 6E ABST 69 C SMITH,ABST 69 C SMITH,3.5,250034.0,"2401-Cedar-Bayou-Rd,-Baytown,-TX-77520",4.0
193,127,193,157,1760.0,1978.0,Guilford,0045249,5 SEC 11 PB55-37 KINGS FOREST,KINGS FOREST SEC 11,2.0,11326.0,"4109-Falconridge-Rd,-Greensboro,-NC-27405",4.0
194,128,194,158,1248.0,1954.0,Anchorage,006-313-15-000,CLARK BLK 2 LT 2,CLARK SUBDIVISION,2.0,7008.0,"2310-Maudest-Pl,-Anchorage,-AK-99508",2.0
195,129,195,159,1232.0,1900.0,Randolph,062 001,2015 VV11-211 2001 KK7-26 LL44 LD10,unkown,1.0,43560.0,"813-Trinity-Church-Rd,-Cuthbert,-GA-39840",2.0
196,130,196,160,2363.0,1940.0,Presidio,082000000050001000000,"5, HOLMES #2 LOT 1",HOLMES,0.0,10149.0,"702-N-Highland-St,-Marfa,-TX-79843",0.0
197,3,197,2,0.0,0.0,Union,unkown,unkown,unkown,0.0,0.0,"500-1-2-E-1st-Ave,-Apt-2,-Roselle,-NJ-07203",0.0
198,131,198,161,2811.0,2006.0,Tarrant,8652-10-23,CRAWFORD FARMS ADDITION BLOCK 10 LOT 23,CRAWFORD FARMS ADDITION,3.0,10014.0,"4205-Tapestry-Ct,-Fort-Worth,-TX-76244",4.0
199,132,199,162,1335.0,1948.0,Wayne,44 018 02 0848 000,19C848 849A LOT 848 ALSO THE E 10.0 FT OF LOT 849 WESTWOOD HILLS SUB NO. 2 T2S R10E L55 P38 WCR,WESTWOOD HILLS SUB,1.0,10019.0,"26851-Sunningdale-Dr,-Inkster,-MI-48141",0.0
200,133,200,163,1748.0,2007.0,Collin,R-9183-00F-0130-1,"SOUTHBROOK PHASE II (CWY), BLK F, LOT 13",SOUTHBROOK PHASE II (CWY),2.0,0.0,"224-Cliffbrook-Dr,-Wylie,-TX-75098",3.0
201,134,201,164,1860.0,1992.0,Stevens,unkown,unkown,unkown,2.0,814136.0,"3076-Red-Marble-Rd,-Chewelah,-WA-99109",3.0
202,135,202,165,1808.0,2008.0,Clark,162-20-311-007,PANORAMA TOWERS 1 PLAT BOOK 133 PAGE 43 UNIT 2-104 BLDG 2,PANORAMA TOWERS 1,2.0,0.0,"4535-Dean-Martin-Dr,-Unit-104,-Las-Vegas,-NV-89103",2.0
203,3,203,2,0.0,0.0,Dupage,unkown,unkown,unkown,0.0,0.0,"PO-Box-4384,-Wheaton,-IL-60189",0.0
204,136,204,166,1734.0,1949.0,Pima,106-04-282A,GARDEN HOMES N100' E2 LOT 3 & N100' W40' LOT 2 BLK 15,GARDEN HOMES,2.0,10000.0,"432-E-Navajo-Rd,-Tucson,-AZ-85705",3.0
205,3,205,2,0.0,0.0,Los Angeles,unkown,unkown,unkown,0.0,0.0,"14535-Weddington-St,-Apt-2,-Sherman-Oaks,-CA-91411",0.0
206,3,206,2,0.0,0.0,Kern,unkown,unkown,unkown,0.0,0.0,"1030-Clinton-St,-Delano,-CA-93215",0.0
207,3,207,20,500.0,0.0,San Diego County,unkown,unkown,unkown,1.0,0.0,"2011-Bulrush-Ln,-Cardiff-By-The-Sea,-CA-92007",1.0
208,3,208,167,1100.0,1965.0,Harris,0771650050041,LT 41 BLK 5 WESLEY PLACE WESLEY PLACE,WESLEY PLACE,1.0,11252.0,"6958-Jay-St,-Houston,-TX-77028",3.0
209,137,209,168,2786.0,1972.0,Maricopa,128-45-152E,PT SE4 SEC BEG AT SE COR OF N 162F OF E 89F OF W 833F OF SE4 TH CONTINUING S 62F TH S 88D54M W 150 F TH N 0D1M E 5F TH N 48D2,unkown,3.0,11539.0,"3335-N-Rose-Circle-Dr,-Phoenix,-AZ-85018",3.0
210,138,210,169,1531.0,1993.0,Palm Beach,00-42-47-06-09-006-0010,WEITZER SUB PL 2 LT 1 BLK 6,WEITZER SUB PL 2,2.0,12706.0,"9728-Tavernier-Dr,-Boca-Raton,-FL-33496",3.0
211,3,211,2,0.0,0.0,Bexar,unkown,unkown,unkown,0.0,0.0,"4426-N-Hein-Rd,-Apt-2104,-San-Antonio,-TX-78220",0.0
212,139,212,16,0.0,0.0,Buncombe,unkown,unkown,unkown,0.0,616810.0,"14-16-Acres-Old-Fort-Rd,-Black-Mountain,-NC-28711",0.0
213,140,213,170,1802.0,2008.0,Mecklenburg,11110847,L341 M49-455,WOODBURY MAP 05,2.0,9253.0,"9035-Paddle-Oak-Rd,-Charlotte,-NC-28227",3.0
214,141,214,171,1799.0,1999.0,Montgomery,7639-01-01400,"OAKRIDGE FOREST 01, BLOCK 1, LOT 31",OAKRIDGE FOREST 01,2.0,9903.0,"25722-Bearborough-Dr,-Spring,-TX-77386",0.0
215,142,215,172,1200.0,1928.0,Kent,41-14-29-278-040,LOT 12* A B KNOWLSON S ADDITION,A B KNOWLSON S ADD,2.0,6316.0,"125-Baynton-Ave-NE,-Grand-Rapids,-MI-49503",0.0
216,143,216,173,2153.0,1999.0,Denton,R204912,COPPELL GREENS PH 1 BLK C LOT 24,COPPELL GREENS PH 1,2.0,6046.0,"141-Turnberry-Ln,-Coppell,-TX-75019",3.0
217,3,217,174,2832.0,1974.0,Cook,16202180390000,unkown,unkown,3.5,4032.0,"1439-S-59th-Ave,-Cicero,-IL-60804",0.0
218,144,218,175,1108.0,1971.0,Hamilton,158B E  004,"0044J 01 07 LOT 3 BLK F J H STREET SUB PB 13 PG 28,29",F J H STREET SUB,1.5,15682.0,"1313-Labrea-Dr,-Chattanooga,-TN-37421",3.0
219,3,219,2,0.0,0.0,Miami-Dade,unkown,unkown,unkown,0.0,0.0,"1104-Nw-43rd-Ave,-Apt-1C,-Miami,-FL-33126",0.0
220,145,220,176,1266.0,0.0,Boulder,1465-34-0-79-010,LOT 10 BLOCK 6 SILO FILING 1,SILO FILING 1,2.0,1873.0,"850-Furrow-Way,-Lafayette,-CO-80026",2.0
221,146,221,177,1588.0,2019.0,Hillsborough,U042920B0J000000001520,REGO PALMS LOT 152,REGO PALMS,2.0,0.0,"5026-Blue-Latan-Ln,-Tampa,-FL-33610",2.0
222,147,222,178,3380.0,1970.0,Hartford,BRIS M:45 L:195-0006750,LOT:195 CITY/MUNI/TWP:BRISTOL,unkown,4.5,15246.0,"233-Camp-St,-Bristol,-CT-06010",6.0
223,148,223,179,1575.0,2005.0,Dallas,007594000F0250000,WHEATLAND MEADOWS PH 1 BLK F/7594 LT 25 VOL2005102/6476 DD05182005 CO-DC 7594 00F 02500 4DA7594 00F,WHEATLAND MEADOWS PH 1,2.0,5000.0,"144-Idlewheat-Ln,-Dallas,-TX-75241",4.0
224,3,224,180,1902.0,1972.0,Johnson,IP32010000 0002,HIDDEN VALLEY REPLAT NO. 2 LT 2 LEC 562 2 19 2,HIDDEN VALLEY,2.5,21532.0,"8922-Millstone-Cir,-Lenexa,-KS-66220",3.0
225,3,225,2,0.0,0.0,Richland,unkown,unkown,unkown,0.0,0.0,"801-Chinquapin-Rd,-Apt-104,-Columbia,-SC-29212",0.0
226,149,226,181,1503.0,1900.0,Wayne,01002486.,PROPERTY EXEMPT FROM AD VALOREM TAXES AND ASSESSED ON THE SPECIAL ACT ROLL PURSUANT TO PA 261 OF 2003 EXPIRING 12/30/2023. N,BASELINE SUB,1.5,3485.0,"409-Melbourne-St,-Detroit,-MI-48202",4.0
227,150,227,182,6246.0,1936.0,Knox,108BB00500G,SUBDIVISIONNAME TYSON PLACE CONDO UNIT 150 LOWLOT UNIT HIGHLOT 150 LOWBLOCK HIGHBLOCK DIMENSIONS,TYSON PLACE CONDOS,0.0,0.0,"2607-Kingston-Pike,-Ste-150,-Knoxville,-TN-37919",0.0
228,151,228,183,2382.0,2016.0,Frederick,02-593091,"LOT 10 PHASE 3 3,200 SQ FT MAXWELL SQUARE CONDOMINI",MAXWELL SQUARE,4.5,3200.0,"12-E-5th-St,-Frederick,-MD-21701",4.0
229,3,229,20,0.0,0.0,Bergen,unkown,unkown,unkown,1.0,0.0,"71-Gaston-Ave,-Unit-1F,-Garfield,-NJ-07026",1.0
230,3,230,184,2448.0,1920.0,Queens,01466-0016,unkown,ALMARA CONDO,0.0,2400.0,"3524-93rd-St,-Jackson-Heights,-NY-11372",0.0
231,152,231,185,1960.0,2021.0,Riverside,508-632-005,RECMAPTYPE CONDOMINIUMMAP LOTTYPE S UNIT 43 BLG-17 MAPPLATB 275 MAPPLATP 028 SUBDIVISIONNAME TR 33575,unkown,4.0,0.0,"108-Huddle-Springs-Way,-Palm-Springs,-CA-92264",2.0
232,153,232,186,1395.0,2020.0,Butler,R8000-072.000-069,4839 ENT CENTENNIAL RUN SEE RID PCL 069R - CENTENNIAL RUN RID,unkown,2.0,9121.0,"804-Prescot-Cir,-Trenton,-OH-45067",3.0
233,154,233,187,1614.0,2020.0,Osceola,092630006200011580,PINEWOOD GARDENS PB 19 PGS 1-7 LOT 158,PINEWOOD GARDENS,2.0,12632.0,"2870-Wadeview-Loop,-Saint-Cloud,-FL-34769",3.0
234,155,234,188,2597.0,1965.0,Dekalb,18 192 15 032,CITY/MUNI/TWP:UNINCORPORATED,AMBERWOOD SUB SEC II,3.0,17424.0,"2080-Castleway-Dr-NE,-Atlanta,-GA-30345",4.0
235,156,235,189,1174.0,1962.0,Fulton,14 018100040271,VERIFIED DATA 92014 24CB DATA NEEDS TO BE UPDATED-FC NEEDED,PROPERTY/NORWOOD & SANDERS UN,2.0,7057.0,"639-Lilla-Dr-SW,-Atlanta,-GA-30310",4.0
236,3,236,2,0.0,0.0,Nassau,unkown,unkown,unkown,0.0,0.0,"215-E-Broadway,-Apt-4A,-Long-Beach,-NY-11561",0.0
237,157,237,190,998.0,1951.0,Tarrant,34410-39-9,RIDGLEA WEST ADDITION BLOCK 39 LOT 9,RIDGLEA WEST ADDITION,1.0,8037.0,"5036-Cedar-Hill-Rd,-Fort-Worth,-TX-76116",2.0
238,158,238,191,2007.0,1979.0,Pinellas,14-27-15-34769-000-0230,GULFVIEW WOODS LOT 23,GULFVIEW WOODS,2.0,10254.0,"1313-Gulfview-Woods-Ln,-Tarpon-Springs,-FL-34689",0.0
239,159,239,192,0.0,0.0,Sangamon,14-32.0-229-015,W 53' L 2 ADELIA DUBOIS SUB SE NE NE 32-16-5,ADELIA DUBOIS SUB,1.0,15611.0,"1214-W-Monroe-St,-Springfield,-IL-62704",2.0
240,3,240,193,996.0,1962.0,Tom Green,25-45700-0000-115-00,ACRES: 0.436 LOT: 9 & 10 BLK: J SUBD: SUNNYSIDE ADDITION TITLE 6/14/07,SUNNYSIDE ADD,0.0,18992.0,"933-Texas-Ave,-San-Angelo,-TX-76903",0.0
241,3,241,194,2400.0,1910.0,Kings,04061-0010,unkown,unkown,0.0,3000.0,"585-Barbey-St,-Brooklyn,-NY-11207",0.0
242,160,242,195,1856.0,1869.0,Howard,34-09-01-327-005.000-002,MAROTT'S PARK ADDN LOTS 7 & 8,MAROTTS PARK ADD/KOKOMO,2.5,14026.0,"601-W-Defenbaugh-St,-Kokomo,-IN-46902",4.0
243,161,243,196,1635.0,2001.0,Collier,32500000248,FLAMINGO FAIRWAYS ONE CONDOMINIUM UNIT 6112,FLAMINGO FAIRWAYS ONE CONDOMINIUM,2.0,0.0,"8115-Celeste-Dr,-Unit-6112,-Naples,-FL-34113",3.0
244,162,244,197,5683.0,2006.0,Hartford,CANT M:35 B:420 L:0035,LOT:35 BLK:420 CITY/MUNI/TWP:CANTON,unkown,5.0,34412.0,"35-Pheasant-Hill-Rd,-Collinsville,-CT-06019",5.0
245,163,245,198,1824.0,2009.0,Clarke,16-3-D1 H-018-A,TRACT G - 0.17 AC - PB G/122A,RES-BV-037,4.0,7405.0,"239-Madison-Hts,-Athens,-GA-30601",4.0
246,164,246,199,1635.0,1980.0,Baltimore,03-1900008292,UNIT 211 1635 SQ FT THE RISTEAU,RISTEAU,2.0,1635.0,"2331-Old-Court-Rd,-Unit-211,-Pikesville,-MD-21208",2.0
247,165,247,200,3190.0,2012.0,Kaufman,00.4205.0000.0430.00.02.00,"R16083; WINNERS CIRCLE 1 & 2 & 3 & 4, LOT 430; & HOUSE & HOUSE",WINNERS CIRCLE 1 & 2 & 3,3.0,47598.0,"2766-W-Alamosa-Dr,-Terrell,-TX-75160",4.0
248,166,248,201,3144.0,1763.0,Lancaster,240-01741-0-0000,96 ZARTMAN MILL RD,ZARTMAN MILL FARM,3.0,2787840.0,"96-Zartman-Mill-Rd,-Lititz,-PA-17543",5.0
249,3,249,2,0.0,0.0,Cochise,unkown,unkown,unkown,0.0,0.0,"600-Charles-Dr,-Apt-114,-Sierra-Vista,-AZ-85635",0.0
250,3,250,2,0.0,0.0,Contra Costa,unkown,unkown,unkown,0.0,0.0,"9100-Brentwood-Blvd,-Brentwood,-CA-94513",0.0
251,3,251,202,950.0,0.0,Providence County,unkown,unkown,unkown,1.0,0.0,"40-Samuel-Ave,-Pawtucket,-RI-02860",2.0
252,3,252,203,1448.0,1940.0,Montgomery,10-03-08-1-020-011.000,LOT:10 BLK:9 DIST:2 CITY/MUNI/TWP:MONTGOMERY CITY SUBD:CAPITOL HGTS SEC/TWN/RNG/MER:SEC 08 TWN 16N RNG 18E MAP REF:MAP 2 PG 34,CAPITOL HGTS,1.0,7500.0,"1937-Windsor-Ave,-Montgomery,-AL-36107",0.0
253,3,253,44,1720.0,0.0,Washington County,unkown,unkown,unkown,2.0,0.0,"514-W-College-St,-Canonsburg,-PA-15317",3.0
254,167,254,204,1344.0,2014.0,Tulsa,20075-03-31-12170,LT-3-BLK-8,INGRAM-LEWIS ADDN,1.0,7013.0,"804-N-Saint-Louis-Ave,-Tulsa,-OK-74106",0.0
